Date,Open,High,Low,Close,Adj Close,Volume
2020-06-16,0.009026,0.009412,0.008834,0.009046,0.009046,259413121
2020-06-17,0.009058,0.009216,0.008709,0.009007,0.009007,238843204
2020-06-18,0.009007,0.009033,0.008447,0.008684,0.008684,214027071
2020-06-19,0.008685,0.008706,0.008310,0.008340,0.008340,205254332
2020-06-20,0.008340,0.008457,0.008101,0.008286,0.008286,197159502
2020-06-21,0.008281,0.008868,0.008280,0.008615,0.008615,217399258
2020-06-22,0.008623,0.009341,0.008602,0.009248,0.009248,237924018
2020-06-23,0.009264,0.009328,0.008867,0.008919,0.008919,216727347
2020-06-24,0.008922,0.009273,0.008721,0.008986,0.008986,207752383
2020-06-25,0.009011,0.009206,0.008685,0.008910,0.008910,211720007
2020-06-26,0.008893,0.009019,0.008806,0.008918,0.008918,196934951
2020-06-27,0.008926,0.009187,0.008441,0.008630,0.008630,202941436
2020-06-28,0.008630,0.008823,0.008454,0.008680,0.008680,200821443
2020-06-29,0.008688,0.008871,0.008496,0.008681,0.008681,200346816
2020-06-30,0.008676,0.008879,0.008590,0.008832,0.008832,180072572
2020-07-01,0.008834,0.009501,0.008679,0.009403,0.009403,247029702
2020-07-02,0.009433,0.009758,0.009245,0.009677,0.009677,186785568
2020-07-03,0.009676,0.010512,0.009643,0.010259,0.010259,176863447
2020-07-04,0.010248,0.012985,0.010181,0.012496,0.012496,317620803
2020-07-05,0.012517,0.016185,0.011931,0.014292,0.014292,788589297
2020-07-06,0.014292,0.015885,0.014093,0.014453,0.014453,456370442
2020-07-07,0.014413,0.017592,0.014390,0.017358,0.017358,404574302
2020-07-08,0.017274,0.021758,0.016835,0.020021,0.020021,831801148
2020-07-09,0.020021,0.020021,0.017207,0.018309,0.018309,494685164
2020-07-10,0.018295,0.019359,0.015081,0.017136,0.017136,506902760
2020-07-11,0.017140,0.018696,0.016739,0.018549,0.018549,294726396
2020-07-12,0.018550,0.018681,0.017398,0.018107,0.018107,202327844
2020-07-13,0.018107,0.019710,0.017991,0.018482,0.018482,341662896
2020-07-14,0.018482,0.018735,0.017387,0.018408,0.018408,215496923
2020-07-15,0.018408,0.019828,0.018408,0.018985,0.018985,238006124
2020-07-16,0.018990,0.019330,0.017519,0.018018,0.018018,232626361
2020-07-17,0.018018,0.019075,0.017860,0.018232,0.018232,174206073
2020-07-18,0.018210,0.018584,0.017895,0.018148,0.018148,149059152
